word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,syn
assuage,(안 좋은 감정을) 누그러뜨리다[달래다],缓和；减轻；平息,,/əˈsweɪdʒ/,,", ease, alleviate, soothe, mitigate, dampen, allay, calm, palliate, abate, lull, temper, suppress, smother, stifle, subdue, tranquillize, mollify, moderate, modify, tone down, attenuate, dilute, lessen, diminish, decrease, reduce, lower",,", ease, alleviate, soothe, mitigate, dampen, allay, calm, palliate, abate, lull, temper, suppress, smother, stifle, subdue, tranquillize, mollify, moderate, modify, tone down, attenuate, dilute, lessen, diminish, decrease, reduce, lower"
extol,극찬[격찬]하다,赞扬；赞颂；赞美,,/ɪkˈstəʊl/,,", go into raptures about, go into raptures over, wax lyrical about, sing the praises of, praise to the skies, heap praise on, eulogize, rhapsodize over, rave about, enthuse about, enthuse over, gush about, gush over, throw bouquets at, express delight over, acclaim",,", go into raptures about, go into raptures over, wax lyrical about, sing the praises of, praise to the skies, heap praise on, eulogize, rhapsodize over, rave about, enthuse about, enthuse over, gush about, gush over, throw bouquets at, express delight over, acclaim"
incognito,"자기 신분을 숨기고, 가명[익명]으로",隐姓埋名地，隐藏身分地,,/ˌɪnkɒɡˈniːtəʊ/,,", under a false name, with one's identity concealed, in disguise, disguised, under cover, in plain clothes, camouflaged",,", under a false name, with one's identity concealed, in disguise, disguised, under cover, in plain clothes, camouflaged"
dissemble,"(진짜 감정·의도를) 숨기다, 가식적으로 꾸미다",掩盖，掩饰（动机、感情、真相等）,,/dɪˈsɛmb(ə)l/,,", pretend, deceive, feign, act, masquerade, sham, fake, bluff, counterfeit, pose, posture, hide one's feelings, be dishonest, put on a false front, lie",,", pretend, deceive, feign, act, masquerade, sham, fake, bluff, counterfeit, pose, posture, hide one's feelings, be dishonest, put on a false front, lie"
slake,(물을 마셔) 갈증을 해소하다,满足,,/sleɪk/,,", satisfy, take the edge off, sate, satiate, relieve, assuage, gratify",,", satisfy, take the edge off, sate, satiate, relieve, assuage, gratify"
acidulous,신맛이 나는,带酸味的,记忆技巧：acid 酸的 + ul〔= ule 小…〕+ ous …的 → 微酸的,/əˈsɪdʒʊləs/,,", sour, tart, bitter, unsweetened, sharp, biting, acrid, pungent, acerbic, vinegary, vinegarish, acetic, acetous",,", sour, tart, bitter, unsweetened, sharp, biting, acrid, pungent, acerbic, vinegary, vinegarish, acetic, acetous"
chronic,만성적인,（尤指疾病或不好的事物）慢性的，长期的,,/ˈkrɒnɪk/,,", long-standing, long-term, constantly recurring",,", long-standing, long-term, constantly recurring"
admonish,"꾸짖다, 책망하다",告诫；警告；责备,,/ədˈmɒnɪʃ/,,", rebuke, scold, reprove, upbraid, chastise, chide, censure, castigate, lambaste, berate, reproach, lecture, criticize, take to task, pull up, read the Riot Act to, give a piece of one's mind to, haul over the coals",,", rebuke, scold, reprove, upbraid, chastise, chide, censure, castigate, lambaste, berate, reproach, lecture, criticize, take to task, pull up, read the Riot Act to, give a piece of one's mind to, haul over the coals"
agnostic,불가지론자,不可知论者（对神存在与否不能肯定或认为不可知）,,/aɡˈnɒstɪk/,,", doubter, questioner, doubting Thomas, challenger, scoffer, cynic",,", doubter, questioner, doubting Thomas, challenger, scoffer, cynic"
sectarian,종파(宗派)의,（人）派系的，教派性的，（尤指）排斥其他信仰的；有门户之见的,,/sɛkˈtɛːrɪən/,,", schismatic, cliquish, clannish, partisan, parti pris",,", schismatic, cliquish, clannish, partisan, parti pris"
chaste,(육체적으로) 순결한,纯洁的；贞洁的,,/tʃeɪst/,,", virgin, intact, maidenly, maiden, unmarried, unwed",,", virgin, intact, maidenly, maiden, unmarried, unwed"
eon,,极长的时期；万古,,/ˈēən/,,", lifetime, duration, length of life",,", lifetime, duration, length of life"
scion,(특히 명문가의) 자손,豪门望族的后裔，富家子弟,,/ˈsʌɪən/,,", graft, slip",,", graft, slip"
auspice,"[보통 pl.] 원조, 찬조, 보호(patronage)",吉兆;（复数）支持；赞助；资助；主办；保护;（以飞鸟行动为根据的）占卜,记忆技巧：au〔= av 鸟〕+ spic 看 + e → 看到鸟〔喜鹊〕→ 吉兆,/ˈɔːspɪs/,,", aegis, umbrella, protection, guidance, support, backing, guardianship, trusteeship, sponsorship, supervision, influence, control, charge, responsibility, keeping, care",,", aegis, umbrella, protection, guidance, support, backing, guardianship, trusteeship, sponsorship, supervision, influence, control, charge, responsibility, keeping, care"
duplicity,"이중성, 표리부동",欺骗；（尤指）搞两面派,,/djuːˈplɪsɪti/,,", deceit, deception, deviousness, two-facedness, double-dealing, underhandedness, dishonesty, falseness, falsity, fraud, fraudulence, sharp practice, swindling, cheating, chicanery, trickery, craft, guile, artifice, subterfuge, skulduggery, treachery, unfairness, unjustness, perfidy, improbity",,", deceit, deception, deviousness, two-facedness, double-dealing, underhandedness, dishonesty, falseness, falsity, fraud, fraudulence, sharp practice, swindling, cheating, chicanery, trickery, craft, guile, artifice, subterfuge, skulduggery, treachery, unfairness, unjustness, perfidy, improbity"
ontology,존재론,本体论,,/ɒnˈtɒlədʒi/,,,,
certitude,확신,确定；确信,,/ˈsəːtɪtjuːd/,,", confidence, sureness, positiveness, conviction, reliability, assuredness, assurance",,", confidence, sureness, positiveness, conviction, reliability, assuredness, assurance"
extrapolate,(…을 기반으로) 추론[추정]하다,推断；推知,,/ɪkˈstrapəleɪt/,,", predict, estimate, calculate, gauge, reckon, expect, extrapolate",,", predict, estimate, calculate, gauge, reckon, expect, extrapolate"
perjury,위증죄,伪证罪,,/ˈpəːdʒ(ə)ri/,,", violation of an oath, giving false evidence, giving false testimony, bearing false testimony, bearing false witness, forswearing oneself, making false statements, wilful falsehood",,", violation of an oath, giving false evidence, giving false testimony, bearing false testimony, bearing false witness, forswearing oneself, making false statements, wilful falsehood"
carousal,"흥청거림, 큰 술잔치[연회]",喧闹的酒宴,,/kəˈraʊz(ə)l/,,,,
sanguine,"낙관적인, 자신감이 넘치는",乐观的，乐天的,,/ˈsaŋɡwɪn/,,", bullish, hopeful, buoyant, positive, disposed to look on the bright side, confident, cheerful, cheery, bright, assured",,", bullish, hopeful, buoyant, positive, disposed to look on the bright side, confident, cheerful, cheery, bright, assured"
consummate,(결혼식 후) 첫날밤을 치르다[성관계를 하다],完美无缺的；圆满的,,/ˈkɒns(j)əmeɪt/,,", conclude, finish, accomplish, achieve",,", conclude, finish, accomplish, achieve"
mainstay,(무엇의 존재·성공을 가능하게 하는) 중심[대들보/기둥],支柱;中流砥柱,,/ˈmeɪnsteɪ/,,", centrepiece, prop, linchpin, cornerstone, pillar, bulwark, buttress, chief support, backbone, anchor, foundation, base, bastion",,", centrepiece, prop, linchpin, cornerstone, pillar, bulwark, buttress, chief support, backbone, anchor, foundation, base, bastion"
conducive,~에 좋은(어떤 일이 일어나기 쉽게 한다는 의미로),有利的，有助的，有益的,,/kənˈdjuːsɪv/,,", helpful to, instrumental in, calculated to produce, productive of, useful for",,", helpful to, instrumental in, calculated to produce, productive of, useful for"
aviation,항공(술),航空（学）；飞行（术）；航空工业,,/eɪvɪˈeɪʃ(ə)n/,,", flying, air transport, aerial navigation, aeronautics",,", flying, air transport, aerial navigation, aeronautics"
bromide,브롬화물(과거엔 진정제로 쓰였음),溴化物镇静剂,,/ˈbrəʊmʌɪd/,,", truism, commonplace, banal saying, hackneyed saying, overworked saying, trite saying, banality, old chestnut",,", truism, commonplace, banal saying, hackneyed saying, overworked saying, trite saying, banality, old chestnut"
dilate,"확장[팽창]하다[시키다], 키우다[커지다]",（使身体的一部分）扩张，展开,,/dʌɪˈleɪt/,,", become larger, widen, become wider, expand, distend, swell",,", become larger, widen, become wider, expand, distend, swell"
accelerant,"촉진제, 촉매",催速（催化；加速；促进；促凝；触媒）剂,,/əkˈsɛlərənt/,,,,
mitigate,완화[경감]시키다,使缓和；减轻（危害等）,,/ˈmɪtɪɡeɪt/,,,,
magnanimous,(특히 적이나 경쟁자에게) 도량이 넓은[너그러운],（对敌人或失败者）宽宏大量的，大度的,,/maɡˈnanɪməs/,,", charitable, benevolent, beneficent, open-handed, big-hearted, great-hearted, munificent, bountiful, liberal, handsome, princely, altruistic, kind, kindly, philanthropic, chivalrous, noble",,", charitable, benevolent, beneficent, open-handed, big-hearted, great-hearted, munificent, bountiful, liberal, handsome, princely, altruistic, kind, kindly, philanthropic, chivalrous, noble"
seminal,(앞으로 전개될 일에) 중대한[영향력이 큰],具有开拓性的；有深远影响的,,/ˈsɛmɪn(ə)l/,,", formative, groundbreaking, pioneering, original, creative, innovative",,", formative, groundbreaking, pioneering, original, creative, innovative"
avid,(흔히 취미에) 열심인[열렬한],渴望的；急切的；热衷的；干劲十足的,记忆技巧：av 渴望 + id …的 → 渴望的；贪婪的,/ˈavɪd/,,", eager, enthusiastic, ardent, passionate, devoted, dedicated, fervent, fervid, zealous, fanatical, voracious, insatiable",,", eager, enthusiastic, ardent, passionate, devoted, dedicated, fervent, fervid, zealous, fanatical, voracious, insatiable"
cadaver,"시체, 사체",尸体，死尸,,/kəˈdɑːvə/,,", body, cadaver, carcass, skeleton",,", body, cadaver, carcass, skeleton"
tantamount,(나쁜 효과가) ~와 마찬가지의[~에 상당하는],无异于;等于;效果与…一样坏,,/ˈtantəmaʊnt/,,", equal to, amounting to, as good as, more or less, synonymous with, virtually the same as, much the same as, comparable to, on a par with, commensurate with, along the lines of, as serious as, identical to",,", equal to, amounting to, as good as, more or less, synonymous with, virtually the same as, much the same as, comparable to, on a par with, commensurate with, along the lines of, as serious as, identical to"
heterodox,이설[이교]의,（信仰、想法或活动）非正统的，异端的,,/ˈhɛt(ə)rə(ʊ)dɒks/,,", heretical, dissenting, dissident, blasphemous, nonconformist, apostate, freethinking, iconoclastic, schismatic, rebellious, renegade, separatist, sectarian, revisionist",,", heretical, dissenting, dissident, blasphemous, nonconformist, apostate, freethinking, iconoclastic, schismatic, rebellious, renegade, separatist, sectarian, revisionist"
leash,"(개 등을 매어 두는) 가죽끈[줄], 사슬",（牵狗等动物用的）绳索，链子,,/liːʃ/,,", rein, tether, rope, cord, chain, line, strap",,", rein, tether, rope, cord, chain, line, strap"
insipid,맛[풍미]이 없는,无味的；无特色的；无生气的；乏味的,,/ɪnˈsɪpɪd/,,", flavourless, unflavoured, savourless, bland, weak, thin, watery, watered-down, unappetizing, unpalatable",,", flavourless, unflavoured, savourless, bland, weak, thin, watery, watered-down, unappetizing, unpalatable"
bereave,(가족·친지와[를]) 사별하다[여의다],使丧失亲友,,/bɪˈriːv/,,", dispossess, rob, divest, strip",,", dispossess, rob, divest, strip"
gregarious,"남과 어울리기 좋아하는, 사교적인",（人）爱交际的，不喜独处的,,/ɡrɪˈɡɛːrɪəs/,,", social, company-loving, companionable, convivial, clubbable",,", social, company-loving, companionable, convivial, clubbable"
accede,(요청·제의 등에) 응하다,同意(请求、建议等);就任;就职;(尤指君主)即位,,/əkˈsiːd/,,", consent to, accept, assent to, acquiesce in, endorse, comply with, go along with, concur with, allow, recognize, grant, surrender to, yield to, give in to, give way to, defer to",,", consent to, accept, assent to, acquiesce in, endorse, comply with, go along with, concur with, allow, recognize, grant, surrender to, yield to, give in to, give way to, defer to"
aggregate,"합계, 총액",聚集体，集成体；总数，合计,,/ˈaɡrɪɡət/,,", sum total, sum, whole amount, grand total, totality, entirety, summation, gross, result, final figure",,", sum total, sum, whole amount, grand total, totality, entirety, summation, gross, result, final figure"
dauntless,불굴의,决然的；无畏的,,/ˈdɔːntləs/,,", determined, resolute, indomitable, intrepid, doughty, plucky, spirited, game, mettlesome, gritty, steely, confident, undaunted, undismayed, unalarmed, unflinching, unshrinking, unabashed, unfaltering, unflagging, bold, audacious, valiant, brave, stout-hearted, lionhearted, gallant, courageous, heroic, daring, daredevil",,", determined, resolute, indomitable, intrepid, doughty, plucky, spirited, game, mettlesome, gritty, steely, confident, undaunted, undismayed, unalarmed, unflinching, unshrinking, unabashed, unfaltering, unflagging, bold, audacious, valiant, brave, stout-hearted, lionhearted, gallant, courageous, heroic, daring, daredevil"
prolix,장황한,冗长的；啰唆的；好长篇大论的,,/ˈprəʊlɪks/,,", long-winded, long-drawn-out, overlong, prolonged, protracted, interminable, laborious, ponderous, endless, unending, verbose, wordy, full of verbiage, verbal, diffuse, discursive, digressive, rambling, wandering, circuitous, meandering, maundering, periphrastic, circumlocutory",,", long-winded, long-drawn-out, overlong, prolonged, protracted, interminable, laborious, ponderous, endless, unending, verbose, wordy, full of verbiage, verbal, diffuse, discursive, digressive, rambling, wandering, circuitous, meandering, maundering, periphrastic, circumlocutory"
plaintive,(소리가) 애처로운[구슬픈],伤感的,,/ˈpleɪntɪv/,,", sad, wistful, doleful, pathetic, pitiful, piteous, melancholy, melancholic, sorrowful, unhappy, wretched, woeful, grief-stricken, broken-hearted, heartbroken, desolate, heart-rending, forlorn, woebegone, disconsolate",,", sad, wistful, doleful, pathetic, pitiful, piteous, melancholy, melancholic, sorrowful, unhappy, wretched, woeful, grief-stricken, broken-hearted, heartbroken, desolate, heart-rending, forlorn, woebegone, disconsolate"
undulating,"물결 모양의, 올라갔다 내려갔다 하는",起伏;波动;荡漾,,/ˈʌndjʊleɪtɪŋ/,,,,
decelerate,(차량의) 속도를 줄이다,（使）降低速度；（使）减速,,/diːˈsɛləreɪt/,,", slow up, slow, go slower, ease up, slack up, reduce speed, lessen one's speed, brake, put the brakes on, hit the brakes",,", slow up, slow, go slower, ease up, slack up, reduce speed, lessen one's speed, brake, put the brakes on, hit the brakes"
prescient,선견지명[예지력]이 있는,预知的，有预知能力的，有先见之明的,,/ˈprɛsɪənt/,,", predictive, visionary",,", predictive, visionary"
antibody,항체,抗体,,/ˈantɪbɒdi/,,,,
objurgate,"꾸짖다, 책망하다, 비난하다",怒斥;痛骂;谴责;申斥,,/ˈɒbdʒəɡeɪt/,,", censure, condemn, castigate, chastise, lambaste, pillory, savage, find fault with, fulminate against, abuse",,", censure, condemn, castigate, chastise, lambaste, pillory, savage, find fault with, fulminate against, abuse"
zealot,"(특히 종교·정치에) 열성적인 사람, 열성분자, 광신자",狂热者；热心者,,/ˈzɛlət/,,", enthusiast, extremist, radical, Young Turk, diehard, activist, militant",,", enthusiast, extremist, radical, Young Turk, diehard, activist, militant"
adjudicate,"(분쟁에 대해) 판결[판정]을 내리다, 재결하다",担任裁判；判决，裁定，裁决,,/əˈdʒuːdɪkeɪt/,,", adjudge, try, hear, examine, arbitrate, decide on, decide, settle, resolve, determine, pronounce on, give a ruling on, sit in judgement on, pass judgement on, give a verdict on, make a ruling on",,", adjudge, try, hear, examine, arbitrate, decide on, decide, settle, resolve, determine, pronounce on, give a ruling on, sit in judgement on, pass judgement on, give a verdict on, make a ruling on"
dolor,"슬픔, 비탄(grief)",疼痛;悲伤;痛苦悲伤;悲哀,,/ˈdōlər/,,", sorrow, unhappiness, dejection, regret, depression, misery, cheerlessness, downheartedness, despondency, despair, desolation, wretchedness, glumness, gloom, gloominess, heaviness of heart, dolefulness, melancholy, low spirits, mournfulness, woe, broken-heartedness, heartache, grief",,", sorrow, unhappiness, dejection, regret, depression, misery, cheerlessness, downheartedness, despondency, despair, desolation, wretchedness, glumness, gloom, gloominess, heaviness of heart, dolefulness, melancholy, low spirits, mournfulness, woe, broken-heartedness, heartache, grief"
indolent,"게으른, 나태한",懒散的；懒惰的,,/ˈɪnd(ə)l(ə)nt/,,", idle, slothful, loafing, work-shy, shiftless, apathetic, lackadaisical, inactive, inert, lifeless, sluggish, lethargic, listless, languid, torpid, slow, slow-moving, dull, plodding",,", idle, slothful, loafing, work-shy, shiftless, apathetic, lackadaisical, inactive, inert, lifeless, sluggish, lethargic, listless, languid, torpid, slow, slow-moving, dull, plodding"
circuitous,빙 돌아가는,迂回的，绕行的,,/səːˈkjuːɪtəs/,,", indirect, winding, meandering, serpentine, tortuous, twisting",,", indirect, winding, meandering, serpentine, tortuous, twisting"
propitiator,달래는 사람 ; 화해시키는 사람.,为和解的;为赢回好感的;安抚的,,/prəˈpɪʃɪeɪtə/,,,,
reprobate,타락한 사람,堕落者；放荡者；恶棍,,/ˈrɛprəbeɪt/,,", rascal, scoundrel, good-for-nothing, villain, wretch, unprincipled person, rake, profligate, degenerate, debauchee, libertine",,", rascal, scoundrel, good-for-nothing, villain, wretch, unprincipled person, rake, profligate, degenerate, debauchee, libertine"
espouse,(주의·정책 등을) 옹호[지지]하다,投身（活动）；支持，拥护（观点）,,/ɪˈspaʊz/,,", embrace, take up, take to, take to one's heart, receive enthusiastically, receive wholeheartedly, accept, welcome",,", embrace, take up, take to, take to one's heart, receive enthusiastically, receive wholeheartedly, accept, welcome"
salutary,"(흔히 불쾌해 보이지만) 유익한, 효과가 좋은",（对行为或性格的改善）有益的,,/ˈsaljʊt(ə)ri/,,", good, good for one, advantageous, profitable, productive, helpful, useful, of use, of service, valuable, worthwhile, practical",,", good, good for one, advantageous, profitable, productive, helpful, useful, of use, of service, valuable, worthwhile, practical"
flippant,"경솔한, 건방진",轻率的；浮夸的,,/ˈflɪp(ə)nt/,,", superficial, shallow, glib, thoughtless, carefree, irresponsible, insouciant, offhand",,", superficial, shallow, glib, thoughtless, carefree, irresponsible, insouciant, offhand"
antecede,"…에 선행하다, 앞서다",在…之前；居…之先；胜过；超越,,/antɪˈsiːd/,,,,
temper,(걸핏하면 화를 내는) 성질[성미],脾气；易怒,,/ˈtɛmpə/,,", disposition, nature, character, personality, make-up, constitution, mind, spirit, stamp, mettle, mould",,", disposition, nature, character, personality, make-up, constitution, mind, spirit, stamp, mettle, mould"
cursory,"대충 하는, 피상적인",仓促的；草草的；粗略的,,/ˈkəːs(ə)ri/,,", desultory, casual, superficial, token, uninterested, half-hearted, inattentive, unthinking, offhand, mechanical, automatic, routine",,", desultory, casual, superficial, token, uninterested, half-hearted, inattentive, unthinking, offhand, mechanical, automatic, routine"
ablution,목욕 (재계),沐浴；净体（礼）；净手（礼）,,/əˈbluːʃ(ə)n/,,", cleansing, bathing, showering, scrubbing, purification",,", cleansing, bathing, showering, scrubbing, purification"
intrastate,주(州)내의,在一州境内(尤指美国的州内),,,,,,
deride,조롱[조소]하다,嘲笑，讥笑,,/dɪˈrʌɪd/,,", mock, jeer at, scoff at, jibe at, make fun of, poke fun at, laugh at, hold up to ridicule, pillory",,", mock, jeer at, scoff at, jibe at, make fun of, poke fun at, laugh at, hold up to ridicule, pillory"
aquamarine,"아쿠아마린, 남옥(藍玉)",海蓝宝石,,/ˌakwəməˈriːn/,,", viridescent",,", viridescent"
accretion,(서서히 막처럼 생기는) 부착물,堆积，积聚；逐渐的增加，增大,,/əˈkriːʃ(ə)n/,,", collecting, gathering, amassing, cumulation, accrual, growth, formation, enlargement, increase, gain, augmentation, rise, mushrooming, snowballing",,", collecting, gathering, amassing, cumulation, accrual, growth, formation, enlargement, increase, gain, augmentation, rise, mushrooming, snowballing"
dissonant,"귀에 거슬리는, [음악] 불협화(음)의; 조화되지 않은(opp. harmonious)",刺耳的；不谐和的；不调和的,记忆技巧：dis 不 + son 声音 + ant …的 → 不同的声音 → 不和谐的,/ˈdɪs(ə)nənt/,,", disharmonious, discordant, unmelodious, atonal, tuneless, off-key, cacophonous",,", disharmonious, discordant, unmelodious, atonal, tuneless, off-key, cacophonous"
rift,(사람들 사이의) 균열[틈],（地面或岩石上的）裂缝，裂口,,/rɪft/,,", fault, flaw, split, break, breach, fissure, fracture, cleft, crevice, gap, cranny, slit, chink, interstice, cavity, opening, space, hole, aperture",,", fault, flaw, split, break, breach, fissure, fracture, cleft, crevice, gap, cranny, slit, chink, interstice, cavity, opening, space, hole, aperture"
sententious,"무게를 잡는, 훈계조의",好说教的；说教式的；自以为是的,,/sɛnˈtɛnʃəs/,,", moralizing, sanctimonious, self-righteous, pietistic, pious, priggish, Pecksniffian, judgemental, canting",,", moralizing, sanctimonious, self-righteous, pietistic, pious, priggish, Pecksniffian, judgemental, canting"
decamp,(흔히 몰래) 서둘러 떠나다,不辞而别，偷偷溜走,,/dɪˈkamp/,,", make off, run off, run away, flee, bolt, take off, take flight, disappear, vanish, slip away, steal away, sneak away, beat a hasty retreat, escape, make a run for it, make one's getaway, leave, depart, make oneself scarce",,", make off, run off, run away, flee, bolt, take off, take flight, disappear, vanish, slip away, steal away, sneak away, beat a hasty retreat, escape, make a run for it, make one's getaway, leave, depart, make oneself scarce"
iniquity,부당성; 부당한 것,极其错误；极不公正,,/ɪˈnɪkwɪti/,,", sinfulness, immorality, impropriety, vice, evil, sin",,", sinfulness, immorality, impropriety, vice, evil, sin"
abate,(강도가) 약해지다; (강도를) 약화시키다[줄이다],减少；减弱；减轻；减退,,/əˈbeɪt/,,", die away, die down, die out, drop away, drop off, lessen, ease, ease off, let up, decrease, diminish, moderate, decline, fade, dwindle, slacken, recede, cool off, tail off, peter out, taper off, wane, ebb, relent, desist, weaken, become weaker, come to an end",,", die away, die down, die out, drop away, drop off, lessen, ease, ease off, let up, decrease, diminish, moderate, decline, fade, dwindle, slacken, recede, cool off, tail off, peter out, taper off, wane, ebb, relent, desist, weaken, become weaker, come to an end"
protagonist,(연극·영화·책 속의) 주인공,（某一想法或政治制度的）主要支持者，主要拥护者,,/prəˈtaɡ(ə)nɪst/,,", leading actress, leading performer, leading player, leading lady, leading man, lead, star",,", leading actress, leading performer, leading player, leading lady, leading man, lead, star"
incubate,(알을) 품다,孵（卵），孵化,,/ˈɪŋkjʊbeɪt/,,", brood, sit on, cover",,", brood, sit on, cover"
donate,(특히 자선단체에) 기부[기증]하다,捐赠，捐助，捐献,,/də(ʊ)ˈneɪt/,,", give a donation of, make a donation of, make a gift of, contribute, make a contribution of, present, gift, subscribe, hand out, grant, bestow, pledge, put oneself down for, put up, come up with, accord",,", give a donation of, make a donation of, make a gift of, contribute, make a contribution of, present, gift, subscribe, hand out, grant, bestow, pledge, put oneself down for, put up, come up with, accord"
fetid,악취가 진동하는,恶臭的；腐臭的,,/ˈfɛtɪd/,,", smelly, foul-smelling, evil-smelling, malodorous, stinking to high heaven, reeking, pungent, acrid, high, rank, foul, unpleasant, nasty, noxious",,", smelly, foul-smelling, evil-smelling, malodorous, stinking to high heaven, reeking, pungent, acrid, high, rank, foul, unpleasant, nasty, noxious"
antagonism,"적의, 적대감",对抗，对立；敌对；敌意,,/anˈtaɡ(ə)nɪz(ə)m/,,", friction, enmity, antipathy, animus, opposition, dissension, rivalry, feud, conflict, discord, contention",,", friction, enmity, antipathy, animus, opposition, dissension, rivalry, feud, conflict, discord, contention"
jurisprudence,법학,法学；法律学,,/ˌdʒʊərɪsˈpruːd(ə)ns/,,", body of laws, constitution, rules, rulings, regulations, acts, bills, statutes, enactments, charters, ordinances, measures, canon, code",,", body of laws, constitution, rules, rulings, regulations, acts, bills, statutes, enactments, charters, ordinances, measures, canon, code"
holograph,자필문,全息图的,,/ˈhɒləɡrɑːf/,,,,
affirm,단언하다,证实；确认；断言,,/əˈfəːm/,,", state, assert, aver, proclaim, pronounce, attest, swear, avow, vow, guarantee, promise, certify, pledge, give one's word, give an undertaking",,", state, assert, aver, proclaim, pronounce, attest, swear, avow, vow, guarantee, promise, certify, pledge, give one's word, give an undertaking"
allude,"암시하다, 시사(示唆)하다, 넌지시 말하다 ((to)) ((직접 언급할 때는 refer, mention을 씀; ⇒ refer [유의어/] ))",影射，暗指；间接提到,,/əˈl(j)uːd/,,", suggest, hint at, imply, mention, touch on, mention in passing, mention en passant, speak briefly of, make an allusion to, cite",,", suggest, hint at, imply, mention, touch on, mention in passing, mention en passant, speak briefly of, make an allusion to, cite"
vortex,(물·공기 등의) 소용돌이,漩涡；涡流,,/ˈvɔːtɛks/,,", whirlpool, gyre, maelstrom, eddy, swirl, swirling, countercurrent, counterflow",,", whirlpool, gyre, maelstrom, eddy, swirl, swirling, countercurrent, counterflow"
delineate,(상세하게) 기술하다[그리다/설명하다],描述；勾画,,/dɪˈlɪnɪeɪt/,,", set forth, set out, present, outline, depict, portray, represent, characterize",,", set forth, set out, present, outline, depict, portray, represent, characterize"
foible,(별로 해롭지 않은) 기벽[약점],（无伤大雅的）怪癖，小毛病，小缺点,,/ˈfɔɪb(ə)l/,,", weak point, weak spot, failing, shortcoming, flaw, imperfection, blemish, fault, defect, frailty, infirmity, inadequacy, limitation",,", weak point, weak spot, failing, shortcoming, flaw, imperfection, blemish, fault, defect, frailty, infirmity, inadequacy, limitation"
opulent,호화로운,奢华的，豪华的，奢侈的,,/ˈɒpjʊl(ə)nt/,,", abundant, profuse, prolific, plentiful, luxuriant",,", abundant, profuse, prolific, plentiful, luxuriant"
perambulator,(바퀴 하나에 기다란 손잡이가 달린) 거리 측정계,手推童车，婴儿车（pram的正式说法）,,/pəˈrambjʊleɪtə/,,,,
simulate,"…한 체[척]하다, 가장하다",类比，模仿；假装，伪装,,/ˈsɪmjʊleɪt/,,", reproduce, replicate, duplicate, mimic, parallel, be a mock-up of",,", reproduce, replicate, duplicate, mimic, parallel, be a mock-up of"
compunction,"죄책감, 거리낌",良心的不安；内疚；自责；后悔,,/kəmˈpʌŋkʃ(ə)n/,,", misgivings, qualms, worries, unease, uneasiness, hesitation, hesitancy, doubts, reluctance, reservations",,", misgivings, qualms, worries, unease, uneasiness, hesitation, hesitancy, doubts, reluctance, reservations"
demise,(기관·사상·기업 등의) 종말,终止;失败;倒闭;死亡;逝世;一命呜呼,,/dɪˈmʌɪz/,,", dying, passing, passing away, passing on, loss of life, expiry, expiration, end, departure from life, final exit",,", dying, passing, passing away, passing on, loss of life, expiry, expiration, end, departure from life, final exit"
tenet,"주의(主義), 교리(敎理)",信条；宗旨；原则,,/ˈtɛnɪt/,,", belief, doctrine, precept, creed, credo, article of faith, dogma, canon, rule",,", belief, doctrine, precept, creed, credo, article of faith, dogma, canon, rule"
deign,치사스럽지만[자기 격에 떨어지지만] 한다는 듯이 굴다,原则;信条;教义,,/deɪn/,,", stoop, lower oneself, descend, think fit, see fit, deem it worthy of oneself, consent, vouchsafe",,", stoop, lower oneself, descend, think fit, see fit, deem it worthy of oneself, consent, vouchsafe"
sorority,(미국 대학의) 여학생 클럽,（美国某些大学的）女生联谊会，姊妹会,,/səˈrɒrɪti/,,", gang, mob, pack, troop, troupe, company, party, bevy, crew, body, working party, posse",,", gang, mob, pack, troop, troupe, company, party, bevy, crew, body, working party, posse"
dulcet,(소리가) 감미로운,柔和动听的，轻柔悦耳的,,/ˈdʌlsɪt/,,", sweet-sounding, mellifluous, euphonious, soothing, mellow, honeyed, pleasant, agreeable",,", sweet-sounding, mellifluous, euphonious, soothing, mellow, honeyed, pleasant, agreeable"
vituperation,혹평,辱骂;斥责;责骂,,/vɪˌtjuːpəˈreɪʃ(ə)n/,,", invective, condemnation, castigation, chastisement, opprobrium, rebuke, scolding, criticism, flak, disapprobation, fault-finding",,", invective, condemnation, castigation, chastisement, opprobrium, rebuke, scolding, criticism, flak, disapprobation, fault-finding"
malignant,악성의,（疾病或肿块）恶性的，致命的,,/məˈlɪɡnənt/,,", hostile, malevolent, malicious, malign, evil-intentioned, baleful, full of hate, vicious, nasty, poisonous, venomous, acrimonious, rancorous, splenetic, cruel",,", hostile, malevolent, malicious, malign, evil-intentioned, baleful, full of hate, vicious, nasty, poisonous, venomous, acrimonious, rancorous, splenetic, cruel"
incantation,(마술을 걸기 위한) 주문[주문을 외기],咒语；念咒,,/ɪnkanˈteɪʃ(ə)n/,,", invocation, conjuration, magic spell, magic formula, rune",,", invocation, conjuration, magic spell, magic formula, rune"
disclose,(특히 비밀이던 것을) 밝히다[폭로하다],公开，公布；透露，揭露,,/dɪsˈkləʊz/,,", make known, divulge, tell, impart, communicate, pass on, vouchsafe, unfold",,", make known, divulge, tell, impart, communicate, pass on, vouchsafe, unfold"
